video_id,title,channel_id,channel_title,subscriber_count,view_count,published_at,category_id,size_tier,niche_tags,channel_avg_views_leave_one_out,raw_engagement_ratio,engagement_score,low_confidence_baseline,predicted_engagement
0D7gvZ-l1Kk,Commodity Analysis for Wednesday|29th July 2026,UCQ35nlZLI0AfmhGhoGNOKyA,Money Making Trading Courses By Tushar Ghone,620000,9762,2026-07-29T06:21:16Z,27,mid,"[""stock market analysis""]",23530.29292929293,0.4148694633481276,0.3470372747889256,False,0.10590169193059978
lIePTbnuTsY,Commodity Analysis for Wednesday|22nd July 2026,UCQ35nlZLI0AfmhGhoGNOKyA,Money Making Trading Courses By Tushar Ghone,620000,3120,2026-07-22T06:30:54Z,27,mid,"[""stock market analysis""]",23597.38383838384,0.1322180467702934,0.1241785820537965,False,0.10590169193059978
pJDixeOCM_Y,Live Crypto Trading | Bitcoin | ETHUSD Live Analysis | 03-August | Shark Exchange India  #cryptolive,UC5hNHywoGq7GZiy0JuWt6sw,Hitesh Nanwani - Live Trading,165000,4509,2026-08-03T20:14:21Z,27,small,"[""stock market analysis""]",75428.67676767676,0.0597783256080163,0.0580597594690303,False,0.09599396784205622
RM5OXRwK58Y,Live Crypto Trading | Bitcoin | ETHUSD Live Analysis | 07-August | Shark Exchange India  #cryptolive,UC5hNHywoGq7GZiy0JuWt6sw,Hitesh Nanwani - Live Trading,165000,4082,2026-08-07T21:53:05Z,27,small,"[""stock market analysis""]",75432.9898989899,0.0541142543264702,0.0527008449334911,False,0.07969519373081385
tGFvUruXKU4,Live Crypto Trading | Bitcoin | ETHUSD Live Analysis | 27-July | Shark Exchange India  #cryptolive,UC5hNHywoGq7GZiy0JuWt6sw,Hitesh Nanwani - Live Trading,165000,6255,2026-07-27T08:35:17Z,27,small,"[""stock market analysis""]",75411.04040404041,0.082945414444446,0.0796845645735945,False,0.07619741248750184
oUSxQYJKvyY,2 New Studio = Hard Work ! #shorts #shortvideo #short #shortsfeed #studio #review #guide #tutorial,UCBEf-Daqa3cCYGS_RXMFJFw,Home Cinema Tech Review,148000,1351,2026-07-23T14:36:27Z,24,small,"[""tech review""]",10113.161616161617,0.1335882932831803,0.1253880823148806,False,0.06773498471826522
Sez1_wBsz4c,Equity Analysis for Wednesday | 5th August 2026|,UCQ35nlZLI0AfmhGhoGNOKyA,Money Making Trading Courses By Tushar Ghone,620000,1032,2026-08-05T09:07:55Z,27,mid,"[""stock market analysis""]",23618.47474747475,0.0436946081842283,0.0427669257715312,False,0.06346138553931385
Yj6E3O4uDFI,Fire Emblem Fortune’s Weave Nintendo Direct Announced,UCDbiEgV3Y7JQtaftgN7lyPw,Mithrie - Gaming News,115000,1052,2026-08-04T04:29:45Z,20,small,"[""gaming news""]",999.020202020202,1.0530317583895332,0.7193176071765415,False,0.034064899999164844
10Q8V3jM_rM,Dji Nano Carger is Best Accessory You Need #shorts #shortvideo #short #shortsvideo #shortsvideo,UCBEf-Daqa3cCYGS_RXMFJFw,Home Cinema Tech Review,148000,2231,2026-07-21T07:34:13Z,24,small,"[""tech review""]",10104.272727272728,0.2207976823486014,0.1995044830768902,False,-0.029136818354308258
e3t6R1zNsrE,Diy Guide Coming Soon #shorts #shortvideo #short #shortsvideo #diy #tips #how #tools #work #guide,UCBEf-Daqa3cCYGS_RXMFJFw,Home Cinema Tech Review,148000,2010,2026-07-22T15:53:48Z,24,small,"[""tech review""]",10106.505050505051,0.1988818082962868,0.1813892959540649,False,-0.09077497275159851
